Sample	Chromosome	Start.bp	End.bp	Num.Markers	Seg.CN
TCGA-02-0001-01C-01D-0182-01	13	87465533	91585262	2274	-0.637364
TCGA-02-0001-01C-01D-0182-01	13	91589659	114987458	15185	0.000000
TCGA-02-0001-01C-01D-0182-01	14	20501368	33509920	6675	0.386671
TCGA-02-0001-01C-01D-0182-01	14	33516335	38583063	3195	-0.369179
TCGA-02-0001-01C-01D-0182-01	14	38585925	105986740	39533	0.000000
TCGA-02-0001-01C-01D-0182-01	15	23687685	41012250	8637	-0.371557
TCGA-02-0001-01C-01D-0182-01	15	41015455	41568130	234	0.000000
TCGA-02-0001-01C-01D-0182-01	15	41573612	41751678	56	-0.428204
TCGA-02-0001-01C-01D-0182-01	15	41755462	41819998	29	0.000000
TCGA-02-0001-01C-01D-0182-01	15	41820200	42537058	393	-0.390045
TCGA-02-0001-01C-01D-0182-01	15	42542814	43791983	581	0.000000
TCGA-02-0001-01C-01D-0182-01	15	43801962	45314787	500	-0.357478
TCGA-02-0001-01C-01D-0182-01	15	45317915	101884307	34037	0.000000
TCGA-02-0001-01C-01D-0182-01	16	653503	89379319	40745	0.000000
TCGA-02-0001-01C-01D-0182-01	17	987221	80917016	36953	0.000000
TCGA-02-0001-01C-01D-0182-01	18	329586	77107934	42627	0.000000
TCGA-02-0001-01C-01D-0182-01	19	284018	10045125	3255	-0.356743
TCGA-02-0001-01C-01D-0182-01	19	10050184	58878226	20667	0.000000
TCGA-02-0001-01C-01D-0182-01	20	456452	62219837	37256	0.000000
TCGA-02-0001-01C-01D-0182-01	21	15372509	25371724	5977	0.000000
TCGA-02-0001-01C-01D-0182-01	21	25382128	25383259	5	1.941603
TCGA-02-0001-01C-01D-0182-01	21	25383791	47678295	14584	0.000000
TCGA-02-0001-01C-01D-0182-01	22	17423930	49331012	16895	0.000000
TCGA-02-0001-01C-01D-0182-01	X	3157107	154905589	63761	0.000000
TCGA-02-0003-01A-01D-0182-01	1	3218610	180271108	86372	0.000000
TCGA-02-0003-01A-01D-0182-01	1	180275654	180908017	365	0.863258
TCGA-02-0003-01A-01D-0182-01	1	180912006	247812431	42286	0.000000
TCGA-02-0003-01A-01D-0182-01	2	484222	236771407	127926	0.000000
TCGA-02-0003-01A-01D-0182-01	2	236772143	237408806	347	0.865129
TCGA-02-0003-01A-01D-0182-01	2	237410658	242476062	2955	0.000000
TCGA-02-0003-01A-01D-0182-01	3	2212571	48682311	27204	0.000000
TCGA-02-0003-01A-01D-0182-01	3	48687213	48770732	32	0.892162
TCGA-02-0003-01A-01D-0182-01	3	48773398	49978777	399	0.000000
TCGA-02-0003-01A-01D-0182-01	3	49979305	50659741	282	0.721802
TCGA-02-0003-01A-01D-0182-01	3	50663761	197538677	78392	0.000000
TCGA-02-0003-01A-01D-0182-01	4	1053934	188763651	102695	0.000000
TCGA-02-0003-01A-01D-0182-01	5	914233	112637754	59739	0.000000
TCGA-02-0003-01A-01D-0182-01	5	112646957	112657404	9	-0.848849
TCGA-02-0003-01A-01D-0182-01	5	112664244	180360469	40705	0.000000
TCGA-02-0003-01A-01D-0182-01	6	1014281	116674378	64342	0.000000
TCGA-02-0003-01A-01D-0182-01	6	116676214	170903919	32074	-0.800112
TCGA-02-0003-01A-01D-0182-01	7	708774	36524518	20409	0.000000
TCGA-02-0003-01A-01D-0182-01	7	36527003	36533760	5	2.790732
TCGA-02-0003-01A-01D-0182-01	7	36534662	54734238	11703	0.000000
TCGA-02-0003-01A-01D-0182-01	7	54734523	55402064	622	2.844068
TCGA-02-0003-01A-01D-0182-01	7	55403025	158385118	48520	0.000000
TCGA-02-0003-01A-01D-0182-01	8	617667	145232496	81503	0.000000
TCGA-02-0003-01A-01D-0182-01	9	789932	140938752	67888	0.000000
TCGA-02-0003-01A-01D-0182-01	10	415240	135225087	80757	0.000000
TCGA-02-0003-01A-01D-0182-01	11	456120	66427511	35247	0.000000
TCGA-02-0003-01A-01D-0182-01	11	66430390	67137946	252	0.688111
TCGA-02-0003-01A-01D-0182-01	11	67149024	134140152	41704	0.000000
TCGA-02-0003-01A-01D-0182-01	12	889902	20041761	10926	0.000000
TCGA-02-0003-01A-01D-0182-01	12	20042214	20195999	120	-0.872006
TCGA-02-0003-01A-01D-0182-01	12	20200697	44108465	11129	0.000000
TCGA-02-0003-01A-01D-0182-01	12	44114510	44782329	385	0.842811
TCGA-02-0003-01A-01D-0182-01	12	44784087	57823192	6869	0.000000
TCGA-02-0003-01A-01D-0182-01	12	57827042	58588489	409	3.652552
TCGA-02-0003-01A-01D-0182-01	12	58593007	111434337	32540	0.000000
TCGA-02-0003-01A-01D-0182-01	12	111439989	111552179	46	-0.896881
TCGA-02-0003-01A-01D-0182-01	12	111555421	133155338	11399	0.000000
TCGA-02-0003-01A-01D-0182-01	13	19450806	114987458	56586	0.000000
TCGA-02-0003-01A-01D-0182-01	14	20501368	105986740	49403	0.000000
TCGA-02-0003-01A-01D-0182-01	15	23687685	101884307	44467	0.000000
TCGA-02-0003-01A-01D-0182-01	16	653503	89379319	40745	0.000000
TCGA-02-0003-01A-01D-0182-01	17	987221	74432562	34280	0.000000
TCGA-02-0003-01A-01D-0182-01	17	74434472	74558322	67	0.589361
TCGA-02-0003-01A-01D-0182-01	17	74558806	80535596	2382	0.000000
TCGA-02-0003-01A-01D-0182-01	17	80535915	80536311	8	-0.241433
TCGA-02-0003-01A-01D-0182-01	17	80536511	80917016	216	0.000000
TCGA-02-0003-01A-01D-0182-01	18	329586	77107934	42627	0.000000
TCGA-02-0003-01A-01D-0182-01	19	284018	58878226	23922	0.000000
TCGA-02-0003-01A-01D-0182-01	20	456452	34839522	19200	0.000000
TCGA-02-0003-01A-01D-0182-01	20	34845939	35519946	237	0.645941
TCGA-02-0003-01A-01D-0182-01	20	35525362	62219837	17819	0.000000
TCGA-02-0003-01A-01D-0182-01	21	15372509	47678295	20566	0.000000
TCGA-02-0003-01A-01D-0182-01	22	17423930	49331012	16895	0.000000
TCGA-02-0003-01A-01D-0182-01	X	3157107	154905589	63761	0.000000
TCGA-02-0006-01B-01D-0182-01	1	3218610	247812431	129023	0.000000
TCGA-02-0006-01B-01D-0182-01	2	484222	102354522	53316	0.000000
TCGA-02-0006-01B-01D-0182-01	2	102356975	102781824	268	-0.345409
TCGA-02-0006-01B-01D-0182-01	2	102783355	242476062	77644	0.000000
TCGA-02-0006-01B-01D-0182-01	3	2212571	144584198	79318	0.000000
TCGA-02-0006-01B-01D-0182-01	3	144584535	174746023	15424	-0.329361
TCGA-02-0006-01B-01D-0182-01	3	174746802	197538677	11567	0.000000
TCGA-02-0006-01B-01D-0182-01	4	1053934	83363210	45335	0.000000
TCGA-02-0006-01B-01D-0182-01	4	83367152	106116712	12732	-0.319023
TCGA-02-0006-01B-01D-0182-01	4	106119150	188763651	44628	0.000000
TCGA-02-0006-01B-01D-0182-01	5	914233	66993263	35957	0.000000
TCGA-02-0006-01B-01D-0182-01	5	66993696	121601458	28900	-0.326478
TCGA-02-0006-01B-01D-0182-01	5	121601488	164403715	26029	0.000000
TCGA-02-0006-01B-01D-0182-01	5	164407343	164687360	170	-0.348224
TCGA-02-0006-01B-01D-0182-01	5	164689797	180360469	9397	0.000000
TCGA-02-0006-01B-01D-0182-01	6	1014281	170903919	96416	0.000000
TCGA-02-0006-01B-01D-0182-01	7	708774	158385118	81259	0.000000
TCGA-02-0006-01B-01D-0182-01	8	617667	145232496	81503	0.000000
TCGA-02-0006-01B-01D-0182-01	9	789932	21959051	13449	0.000000
TCGA-02-0006-01B-01D-0182-01	9	21963430	22520468	326	-0.328110
TCGA-02-0006-01B-01D-0182-01	9	22520493	140938752	54113	0.000000
TCGA-02-0006-01B-01D-0182-01	10	415240	89335769	51918	0.000000
TCGA-02-0006-01B-01D-0182-01	10	89335977	89367724	27	-0.718227
TCGA-02-0006-01B-01D-0182-01	10	89369898	89599354	160	-0.616621
TCGA-02-0006-01B-01D-0182-01	10	89602259	89728024	196	-0.360669
TCGA-02-0006-01B-01D-0182-01	10	89728099	90813938	713	-0.610431
TCGA-02-0006-01B-01D-0182-01	10	90818155	90881715	73	0.000000
TCGA-02-0006-01B-01D-0182-01	10	90885136	90919258	28	-0.640043
TCGA-02-0006-01B-01D-0182-01	10	90928452	91017996	46	0.000000
TCGA-02-0006-01B-01D-0182-01	10	91018520	91034967	19	-0.429208
TCGA-02-0006-01B-01D-0182-01	10	91036723	135225087	27577	0.000000
TCGA-02-0006-01B-01D-0182-01	11	456120	134140152	77203	0.000000
TCGA-02-0006-01B-01D-0182-01	12	889902	57739634	29392	0.000000
TCGA-02-0006-01B-01D-0182-01	12	57749314	59935026	1377	3.656854
TCGA-02-0006-01B-01D-0182-01	12	59950966	60599211	424	-0.566898
TCGA-02-0006-01B-01D-0182-01	12	60600040	61756664	614	3.656854
TCGA-02-0006-01B-01D-0182-01	12	61759853	65780422	2322	-0.544253
TCGA-02-0006-01B-01D-0182-01	12	65783378	68636702	2007	0.000000
TCGA-02-0006-01B-01D-0182-01	12	68640583	69004215	275	-0.583308
TCGA-02-0006-01B-01D-0182-01	12	69011460	70488764	1011	3.656854
TCGA-02-0006-01B-01D-0182-01	12	70494473	72738851	1311	-0.548316
TCGA-02-0006-01B-01D-0182-01	12	72740249	72781779	27	3.656854
TCGA-02-0006-01B-01D-0182-01	12	72791070	73023957	149	-0.556408
TCGA-02-0006-01B-01D-0182-01	12	73024908	73040789	5	1.961646
TCGA-02-0006-01B-01D-0182-01	12	73044703	133155338	34909	0.000000
TCGA-02-0006-01B-01D-0182-01	13	19450806	114987458	56586	0.000000
TCGA-02-0006-01B-01D-0182-01	14	20501368	105986740	49403	0.000000
TCGA-02-0006-01B-01D-0182-01	15	23687685	101884307	44467	0.000000
TCGA-02-0006-01B-01D-0182-01	16	653503	3970017	1033	0.000000
TCGA-02-0006-01B-01D-0182-01	16	3972202	4433671	237	-0.381494
TCGA-02-0006-01B-01D-0182-01	16	4439131	89379319	39475	0.000000
TCGA-02-0006-01B-01D-0182-01	17	987221	80917016	36953	0.000000
TCGA-02-0006-01B-01D-0182-01	18	329586	77107934	42627	0.000000
TCGA-02-0006-01B-01D-0182-01	19	284018	58878226	23922	0.000000
TCGA-02-0006-01B-01D-0182-01	20	456452	62219837	37256	0.000000
TCGA-02-0006-01B-01D-0182-01	21	15372509	47678295	20566	0.000000
TCGA-02-0006-01B-01D-0182-01	22	17423930	17544834	65	-0.517329
TCGA-02-0006-01B-01D-0182-01	22	17545859	18318963	468	0.000000
TCGA-02-0006-01B-01D-0182-01	22	18320058	18613737	224	-0.458093
TCGA-02-0006-01B-01D-0182-01	22	22096802	22117434	19	0.000000
TCGA-02-0006-01B-01D-0182-01	22	22120017	22215895	39	-0.527966
TCGA-02-0006-01B-01D-0182-01	22	22226598	22292995	31	0.000000
TCGA-02-0006-01B-01D-0182-01	22	23816388	25266766	558	-0.472304
TCGA-02-0006-01B-01D-0182-01	22	25268215	25434504	111	0.000000
TCGA-02-0006-01B-01D-0182-01	22	25434552	26008103	176	-0.515875
TCGA-02-0006-01B-01D-0182-01	22	26016737	26303610	287	0.000000
TCGA-02-0006-01B-01D-0182-01	22	26304057	26380389	79	-0.595044
TCGA-02-0006-01B-01D-0182-01	22	26380870	27110827	656	0.000000
TCGA-02-0006-01B-01D-0182-01	22	27113697	27648408	574	-0.543123
TCGA-02-0006-01B-01D-0182-01	22	27649512	28156018	497	0.000000
TCGA-02-0006-01B-01D-0182-01	22	28158649	28379029	122	-0.517829
TCGA-02-0006-01B-01D-0182-01	22	28379565	28686756	185	0.000000
TCGA-02-0006-01B-01D-0182-01	22	28686984	29389529	351	-0.560105
TCGA-02-0006-01B-01D-0182-01	22	29389992	30143206	439	0.000000
TCGA-02-0006-01B-01D-0182-01	22	30144543	31566015	760	-0.547192
TCGA-02-0006-01B-01D-0182-01	22	31567046	32704902	615	0.000000
TCGA-02-0006-01B-01D-0182-01	22	32710192	32980495	221	-0.521726
TCGA-02-0006-01B-01D-0182-01	22	32980676	33403735	365	0.000000
TCGA-02-0006-01B-01D-0182-01	22	33406702	33652752	174	-0.576737
TCGA-02-0006-01B-01D-0182-01	22	33652811	33838322	184	0.000000
TCGA-02-0006-01B-01D-0182-01	22	33838714	33907124	87	-0.609460
TCGA-02-0006-01B-01D-0182-01	22	33907964	34072655	140	0.000000
TCGA-02-0006-01B-01D-0182-01	22	34074461	34260844	198	-0.553019
TCGA-02-0006-01B-01D-0182-01	22	34262416	35356886	1006	0.000000
TCGA-02-0006-01B-01D-0182-01	22	35357983	35402955	31	-0.532069
TCGA-02-0006-01B-01D-0182-01	22	35403031	35881777	347	0.000000
TCGA-02-0006-01B-01D-0182-01	22	35888706	35960721	64	-0.620938
TCGA-02-0006-01B-01D-0182-01	22	35962586	37324281	618	0.000000
TCGA-02-0006-01B-01D-0182-01	22	37324509	37462926	104	-0.547834
TCGA-02-0006-01B-01D-0182-01	22	37462984	37752652	156	0.000000
TCGA-02-0006-01B-01D-0182-01	22	37752697	38574066	353	-0.605721
TCGA-02-0006-01B-01D-0182-01	22	38575492	39214146	340	0.000000
TCGA-02-0006-01B-01D-0182-01	22	39216301	39594740	119	-0.479255
TCGA-02-0006-01B-01D-0182-01	22	39624939	39873470	111	0.000000
TCGA-02-0006-01B-01D-0182-01	22	39874790	40291807	208	-0.491990
TCGA-02-0006-01B-01D-0182-01	22	40294012	40959920	261	0.000000
TCGA-02-0006-01B-01D-0182-01	22	40960955	41107688	74	-0.565313
TCGA-02-0006-01B-01D-0182-01	22	41107718	41905080	514	0.000000
TCGA-02-0006-01B-01D-0182-01	22	41914593	42034433	46	-0.460984
TCGA-02-0006-01B-01D-0182-01	22	42037154	42381427	174	0.000000
TCGA-02-0006-01B-01D-0182-01	22	42385967	42732835	178	-0.522202
TCGA-02-0006-01B-01D-0182-01	22	42733557	43287290	181	0.000000
TCGA-02-0006-01B-01D-0182-01	22	43289473	43673800	259	-0.577504
TCGA-02-0006-01B-01D-0182-01	22	43674777	43787833	84	0.000000
TCGA-02-0006-01B-01D-0182-01	22	43790238	44253089	308	-0.560516
TCGA-02-0006-01B-01D-0182-01	22	44257056	44439996	174	0.000000
TCGA-02-0006-01B-01D-0182-01	22	44441288	44473731	23	-0.420523
TCGA-02-0006-01B-01D-0182-01	22	44483802	44589365	109	0.000000
TCGA-02-0006-01B-01D-0182-01	22	44590048	44706814	133	-0.468987
TCGA-02-0006-01B-01D-0182-01	22	44734215	45068548	252	0.000000
TCGA-02-0006-01B-01D-0182-01	22	45071766	46199332	787	-0.578943
TCGA-02-0006-01B-01D-0182-01	22	46201047	46554768	129	0.000000
TCGA-02-0006-01B-01D-0182-01	22	46561274	47169270	380	-0.562942
TCGA-02-0006-01B-01D-0182-01	22	47169675	47552567	286	0.000000
TCGA-02-0006-01B-01D-0182-01	22	47553037	47709194	139	-0.481710
TCGA-02-0006-01B-01D-0182-01	22	47712864	47779220	56	0.000000
TCGA-02-0006-01B-01D-0182-01	22	47779595	47843182	51	-0.472154
TCGA-02-0006-01B-01D-0182-01	22	47844791	48208853	226	0.000000
TCGA-02-0006-01B-01D-0182-01	22	48209008	48427065	214	-0.506031
TCGA-02-0006-01B-01D-0182-01	22	48430240	48455540	46	0.000000
TCGA-02-0006-01B-01D-0182-01	22	48472851	48803319	350	-0.518331
TCGA-02-0006-01B-01D-0182-01	22	48803513	49331012	379	0.000000
TCGA-02-0006-01B-01D-0182-01	X	3157107	154905589	63761	0.000000
TCGA-02-0007-01A-01D-0182-01	1	3218610	16682747	7186	0.000000
TCGA-02-0007-01A-01D-0182-01	1	16691076	16764962	33	0.815712
TCGA-02-0007-01A-01D-0182-01	1	16769535	23770006	4012	0.000000
TCGA-02-0007-01A-01D-0182-01	1	23773234	23950147	94	0.788714
TCGA-02-0007-01A-01D-0182-01	1	23950679	203061250	88884	0.000000
TCGA-02-0007-01A-01D-0182-01	1	203068384	205477439	1695	3.650467
TCGA-02-0007-01A-01D-0182-01	1	205483124	218179591	8387	0.000000
TCGA-02-0007-01A-01D-0182-01	1	218180366	218182257	6	-0.826653
TCGA-02-0007-01A-01D-0182-01	1	218193515	229611024	6830	0.000000
TCGA-02-0007-01A-01D-0182-01	1	229612045	229626891	15	-0.863536
TCGA-02-0007-01A-01D-0182-01	1	229628160	247812431	11881	0.000000
TCGA-02-0007-01A-01D-0182-01	2	484222	8610286	4841	0.000000
TCGA-02-0007-01A-01D-0182-01	2	8613081	8747010	107	0.820666
TCGA-02-0007-01A-01D-0182-01	2	8750074	112784246	53800	0.000000
TCGA-02-0007-01A-01D-0182-01	2	112784793	112844091	34	0.931914
TCGA-02-0007-01A-01D-0182-01	2	112849133	120039775	3782	0.000000
TCGA-02-0007-01A-01D-0182-01	2	120045357	120049842	6	-0.977682
TCGA-02-0007-01A-01D-0182-01	2	120050844	242476062	68658	0.000000
TCGA-02-0007-01A-01D-0182-01	3	2212571	132509832	72718	0.000000
TCGA-02-0007-01A-01D-0182-01	3	132514399	132522536	9	-0.886733
TCGA-02-0007-01A-01D-0182-01	3	132532009	197538677	33582	0.000000
TCGA-02-0007-01A-01D-0182-01	4	1053934	114289063	62779	0.000000
TCGA-02-0007-01A-01D-0182-01	4	114292371	114398233	61	0.920245
TCGA-02-0007-01A-01D-0182-01	4	114398570	146272961	17134	0.000000
TCGA-02-0007-01A-01D-0182-01	4	146276195	146287046	7	-0.716040
TCGA-02-0007-01A-01D-0182-01	4	146298460	188763651	22714	0.000000
TCGA-02-0007-01A-01D-0182-01	5	914233	139491610	75197	0.000000
TCGA-02-0007-01A-01D-0182-01	5	139495319	139630024	53	0.758579
TCGA-02-0007-01A-01D-0182-01	5	139632546	173095951	21483	0.000000
TCGA-02-0007-01A-01D-0182-01	5	173098513	173130281	34	0.762040
TCGA-02-0007-01A-01D-0182-01	5	173136182	180360469	3686	0.000000
TCGA-02-0007-01A-01D-0182-01	6	1014281	2717781	1294	0.000000
TCGA-02-0007-01A-01D-0182-01	6	2717971	2748517	29	0.875611
TCGA-02-0007-01A-01D-0182-01	6	2754794	170903919	95093	0.000000
TCGA-02-0007-01A-01D-0182-01	7	708774	54857434	32203	0.000000
TCGA-02-0007-01A-01D-0182-01	7	54857590	55052264	140	1.438890
TCGA-02-0007-01A-01D-0182-01	7	55054805	76054285	6000	0.000000
TCGA-02-0007-01A-01D-0182-01	7	76757011	113153592	18814	-0.785349
TCGA-02-0007-01A-01D-0182-01	7	113164468	141131899	15681	0.000000
TCGA-02-0007-01A-01D-0182-01	7	141135114	141322215	109	0.979886
TCGA-02-0007-01A-01D-0182-01	7	141323596	158385118	8312	0.000000
TCGA-02-0007-01A-01D-0182-01	8	617667	20504690	11134	0.000000
TCGA-02-0007-01A-01D-0182-01	8	20506389	20613676	98	-0.829206
TCGA-02-0007-01A-01D-0182-01	8	20622225	145232496	70271	0.000000
TCGA-02-0007-01A-01D-0182-01	9	789932	20159175	12181	0.000000
TCGA-02-0007-01A-01D-0182-01	9	20165768	24383034	2825	-0.890414
TCGA-02-0007-01A-01D-0182-01	9	24394049	140938752	52882	0.000000
TCGA-02-0007-01A-01D-0182-01	10	415240	48412399	28073	0.000000
TCGA-02-0007-01A-01D-0182-01	10	48414570	51071823	1434	-0.915535
TCGA-02-0007-01A-01D-0182-01	10	51556705	135225087	51250	0.000000
TCGA-02-0007-01A-01D-0182-01	11	456120	23628119	14996	0.000000
TCGA-02-0007-01A-01D-0182-01	11	23628562	23629290	5	-0.857449
TCGA-02-0007-01A-01D-0182-01	11	23631557	27195868	2220	0.000000
TCGA-02-0007-01A-01D-0182-01	11	27198361	27241077	49	1.037472
TCGA-02-0007-01A-01D-0182-01	11	27247816	57489772	14067	0.000000
TCGA-02-0007-01A-01D-0182-01	11	57494233	103006790	25245	-0.870070
TCGA-02-0007-01A-01D-0182-01	11	103018568	134140152	20621	0.000000
TCGA-02-0007-01A-01D-0182-01	12	889902	133155338	73823	0.000000
TCGA-02-0007-01A-01D-0182-01	13	19450806	23009955	1759	0.000000
TCGA-02-0007-01A-01D-0182-01	13	23012707	24927971	985	-0.945575
TCGA-02-0007-01A-01D-0182-01	13	25040057	25336558	115	0.000000
TCGA-02-0007-01A-01D-0182-01	13	25349691	27867501	1738	-0.962965
TCGA-02-0007-01A-01D-0182-01	13	27869754	114987458	51989	0.000000
TCGA-02-0007-01A-01D-0182-01	14	20501368	21338687	547	0.000000
TCGA-02-0007-01A-01D-0182-01	14	21432949	21562560	77	0.827643
TCGA-02-0007-01A-01D-0182-01	14	21563264	105986740	48779	0.000000
TCGA-02-0007-01A-01D-0182-01	15	23687685	101884307	44467	0.000000
TCGA-02-0007-01A-01D-0182-01	16	653503	89379319	40745	0.000000
TCGA-02-0007-01A-01D-0182-01	17	987221	39748346	16154	0.000000
TCGA-02-0007-01A-01D-0182-01	17	39751623	39875206	51	0.479244
TCGA-02-0007-01A-01D-0182-01	17	39879893	50024326	4262	0.000000
TCGA-02-0007-01A-01D-0182-01	17	50026290	50948711	636	-0.797112
TCGA-02-0007-01A-01D-0182-01	17	51317861	70337261	11378	0.000000
TCGA-02-0007-01A-01D-0182-01	17	70340053	70396115	62	0.961237
TCGA-02-0007-01A-01D-0182-01	17	70398338	80917016	4410	0.000000
TCGA-02-0007-01A-01D-0182-01	18	329586	77107934	42627	0.000000
TCGA-02-0007-01A-01D-0182-01	19	284018	7300055	2019	0.699140
TCGA-02-0007-01A-01D-0182-01	19	7304492	7344986	6	-0.845242
TCGA-02-0007-01A-01D-0182-01	19	7397015	58878226	21897	0.000000
TCGA-02-0007-01A-01D-0182-01	20	456452	34305716	18964	0.000000
TCGA-02-0007-01A-01D-0182-01	20	34312713	34338701	19	0.868288
TCGA-02-0007-01A-01D-0182-01	20	34387196	62219837	18273	0.000000
TCGA-02-0007-01A-01D-0182-01	21	15372509	47678295	20566	0.000000
TCGA-02-0007-01A-01D-0182-01	22	17423930	49331012	16895	0.000000
TCGA-02-0007-01A-01D-0182-01	X	3157107	102035598	39608	0.000000
TCGA-02-0007-01A-01D-0182-01	X	102057654	102081150	9	-0.761941
TCGA-02-0007-01A-01D-0182-01	X	102082599	154905589	24144	0.000000
TCGA-02-0009-01A-01D-0182-01	1	3218610	8386730	3160	0.000000
TCGA-02-0009-01A-01D-0182-01	1	8386755	8388571	5	-0.893129
TCGA-02-0009-01A-01D-0182-01	1	8393218	14572576	2766	0.000000
TCGA-02-0009-01A-01D-0182-01	1	14575462	15686006	861	-0.864289
TCGA-02-0009-01A-01D-0182-01	1	15687059	15888872	102	0.000000
TCGA-02-0009-01A-01D-0182-01	1	15894607	16012024	61	-0.825387
TCGA-02-0009-01A-01D-0182-01	1	16087996	19573747	1878	0.000000
TCGA-02-0009-01A-01D-0182-01	1	19576831	22297426	1575	-0.811342
TCGA-02-0009-01A-01D-0182-01	1	22435723	96673691	43405	0.000000
TCGA-02-0009-01A-01D-0182-01	1	96673887	96685158	8	-0.859553
TCGA-02-0009-01A-01D-0182-01	1	96685378	247812431	75202	0.000000
TCGA-02-0009-01A-01D-0182-01	2	484222	24359818	15239	0.000000
TCGA-02-0009-01A-01D-0182-01	2	24360432	25096952	328	0.824571
TCGA-02-0009-01A-01D-0182-01	2	25099585	43023167	9521	0.000000
TCGA-02-0009-01A-01D-0182-01	2	43023483	43632200	350	0.799485
TCGA-02-0009-01A-01D-0182-01	2	43632615	50653381	4545	0.000000
TCGA-02-0009-01A-01D-0182-01	2	50654425	50863213	185	0.862619
TCGA-02-0009-01A-01D-0182-01	2	51360475	242476062	101060	0.000000
TCGA-02-0009-01A-01D-0182-01	3	2212571	3357787	581	0.000000
